no.peserta;no.ujian;kode.prodi;nama.prodi;kode.formasi.awal;lokasi.formasi.awal;kode.formasi.akhir;lokasi.formasi.akhir;peringkat.cadangan;hasil.akhir
S2240160123315101;3315101;5000121;D-IV Statistika;40160008;Provinsi Bengkulu;40160025;Provinsi Maluku;30;Tidak Lulus
S2240160125100264;5100264;5000121;D-IV Statistika;40160036;Provinsi Bali;40160025;Provinsi Maluku;34;Tidak Lulus
S2240160123303898;3303898;5000121;D-IV Statistika;40160006;Provinsi Jambi;40160025;Provinsi Maluku;45;Tidak Lulus
S2240160123313763;3313763;5000121;D-IV Statistika;40160016;Provinsi Kalimantan Selatan;40160025;Provinsi Maluku;47;Tidak Lulus
S2240160121403118;1403118;5000121;D-IV Statistika;40160005;Provinsi Riau;40160025;Provinsi Maluku;54;Tidak Lulus
S2240160123309012;3309012;5000121;D-IV Statistika;40160006;Provinsi Jambi;40160025;Provinsi Maluku;70;Tidak Lulus
S2240160126300267;6300267;5000121;D-IV Statistika;40160016;Provinsi Kalimantan Selatan;40160025;Provinsi Maluku;72;Tidak Lulus
S2240160123602164;3602164;5000121;D-IV Statistika;40160026;Provinsi Maluku Utara;40160025;Provinsi Maluku;76;Tidak Lulus
S2240160119100541;9100541;5000121;D-IV Statistika;40160028;Provinsi Papua;40160025;Provinsi Maluku;99;Tidak Lulus
S2240160127200014;7200014;5000121;D-IV Statistika;40160020;Provinsi Sulawesi Tengah;40160025;Provinsi Maluku;102;Tidak Lulus
S2240160113208885;3208885;5000121;D-IV Statistika;40160028;Provinsi Papua;40160025;Provinsi Maluku;111;Tidak Lulus
S2240160121207220;1207220;5000121;D-IV Statistika;40160028;Provinsi Papua;40160025;Provinsi Maluku;113;Tidak Lulus
S2240160123508473;3508473;5000121;D-IV Statistika;40160028;Provinsi Papua;40160025;Provinsi Maluku;115;Tidak Lulus
